DistrictKey,DistrictEN,TotalReports,AveragePredictedRisk,HighRiskReports,PredictedBreaches,ActualBreachRate
1,Central Area,6687,0.3974,3201,5767,0.4075
12,Al Jamawat,1960,0.278,79,990,0.2303
4,Al Aziziyah,2574,0.2751,93,1282,0.2193
9,Wadi Mahzur,2006,0.2748,80,992,0.2253
10,Bir Uthman,1778,0.2744,66,889,0.2352
7,Bani Harithah,1849,0.2744,64,904,0.2334
8,Al Aridh,2185,0.2729,81,1065,0.2273
5,Al Salam,2169,0.2728,81,1030,0.2172
6,Uhud,2259,0.272,78,1082,0.2216
3,Al Iskan,2365,0.2718,97,1121,0.2135
11,Al Oyoun,1684,0.2716,68,795,0.2231
2,Quba,2484,0.2707,86,1155,0.2238
