Date,DateKey,Year,MonthNo,Month,YearMonth,DayName,DayOfWeek,IsWeekend,Season
2025-10-05 00:00:00,20251005,2025,10,Oct,2025-10,Sunday,7,False,Regular
2025-10-06 00:00:00,20251006,2025,10,Oct,2025-10,Monday,1,False,Regular
2025-10-07 00:00:00,20251007,2025,10,Oct,2025-10,Tuesday,2,False,Regular
2025-10-08 00:00:00,20251008,2025,10,Oct,2025-10,Wednesday,3,False,Regular
2025-10-09 00:00:00,20251009,2025,10,Oct,2025-10,Thursday,4,False,Regular
2025-10-10 00:00:00,20251010,2025,10,Oct,2025-10,Friday,5,True,Regular
2025-10-11 00:00:00,20251011,2025,10,Oct,2025-10,Saturday,6,True,Regular
2025-10-12 00:00:00,20251012,2025,10,Oct,2025-10,Sunday,7,False,Regular
2025-10-13 00:00:00,20251013,2025,10,Oct,2025-10,Monday,1,False,Regular
2025-10-14 00:00:00,20251014,2025,10,Oct,2025-10,Tuesday,2,False,Regular
2025-10-15 00:00:00,20251015,2025,10,Oct,2025-10,Wednesday,3,False,Regular
2025-10-16 00:00:00,20251016,2025,10,Oct,2025-10,Thursday,4,False,Regular
2025-10-17 00:00:00,20251017,2025,10,Oct,2025-10,Friday,5,True,Regular
2025-10-18 00:00:00,20251018,2025,10,Oct,2025-10,Saturday,6,True,Regular
2025-10-19 00:00:00,20251019,2025,10,Oct,2025-10,Sunday,7,False,Regular
2025-10-20 00:00:00,20251020,2025,10,Oct,2025-10,Monday,1,False,Regular
2025-10-21 00:00:00,20251021,2025,10,Oct,2025-10,Tuesday,2,False,Regular
2025-10-22 00:00:00,20251022,2025,10,Oct,2025-10,Wednesday,3,False,Regular
2025-10-23 00:00:00,20251023,2025,10,Oct,2025-10,Thursday,4,False,Regular
2025-10-24 00:00:00,20251024,2025,10,Oct,2025-10,Friday,5,True,Regular
2025-10-25 00:00:00,20251025,2025,10,Oct,2025-10,Saturday,6,True,Regular
2025-10-26 00:00:00,20251026,2025,10,Oct,2025-10,Sunday,7,False,Regular
