TeamKey,CategoryKey,TeamCode,PrimaryShift,NominalDailyCapacity
1,1,T01-M1,Morning,4
2,1,T01-M2,Morning,4
3,1,T01-E1,Evening,5
4,1,T01-E2,Evening,5
5,1,T01-N1,Night,4
6,1,T01-N2,Night,4
7,2,T02-M1,Morning,4
8,2,T02-M2,Morning,4
9,2,T02-E1,Evening,5
10,2,T02-E2,Evening,5
11,2,T02-N1,Night,4
12,2,T02-N2,Night,4
13,3,T03-M1,Morning,4
14,3,T03-M2,Morning,4
15,3,T03-E1,Evening,5
16,3,T03-E2,Evening,5
17,3,T03-N1,Night,4
18,3,T03-N2,Night,4
19,4,T04-M1,Morning,4
20,4,T04-M2,Morning,4
21,4,T04-E1,Evening,5
22,4,T04-E2,Evening,5
23,4,T04-N1,Night,4
24,4,T04-N2,Night,4
25,5,T05-M1,Morning,4
26,5,T05-M2,Morning,4
27,5,T05-E1,Evening,5
28,5,T05-E2,Evening,5
29,5,T05-N1,Night,4
30,5,T05-N2,Night,4
31,6,T06-M1,Morning,4
32,6,T06-M2,Morning,4
33,6,T06-E1,Evening,5
34,6,T06-E2,Evening,5
35,6,T06-N1,Night,4
36,6,T06-N2,Night,4
37,7,T07-M1,Morning,4
38,7,T07-M2,Morning,4
39,7,T07-E1,Evening,5
40,7,T07-E2,Evening,5
41,7,T07-N1,Night,4
42,7,T07-N2,Night,4
43,8,T08-M1,Morning,4
44,8,T08-M2,Morning,4
45,8,T08-E1,Evening,5
46,8,T08-E2,Evening,5
47,8,T08-N1,Night,4
48,8,T08-N2,Night,4
