IncidentID,CreatedAt,DateKey,Hour,DistrictKey,CategoryKey,Subcategory,ChannelKey,TeamKey,Priority,Status,AssignedAt,ResolvedAt,ResponseHours,ResolutionHours,SLATargetHours,SLAMet,IsRepeat,RepeatGroupID,WasReopened,SatisfactionScore,Latitude,Longitude,DataClass
SYN-000001,2025-10-05 00:08:00,20251005,0,8,2,Road obstruction,7,11,Low,Resolved,2025-10-05 00:21:50,2025-10-08 04:12:25,0.64,76.07,85,True,False,1001,False,4.0,24.481099,39.644981,Synthetic
SYN-000002,2025-10-05 00:13:00,20251005,0,7,6,Streetlight outage,5,36,Medium,Resolved,2025-10-05 00:29:48,2025-10-06 03:41:33,0.78,27.48,24,False,False,1002,False,4.0,24.501993,39.639474,Synthetic
SYN-000003,2025-10-05 01:01:00,20251005,1,12,1,Missed collection,5,5,Medium,Resolved,2025-10-05 01:08:09,2025-10-05 18:56:19,0.33,17.92,24,True,False,1003,False,5.0,24.410695,39.561732,Synthetic
SYN-000004,2025-10-05 01:03:00,20251005,1,8,1,Missed collection,7,5,Low,Resolved,2025-10-05 01:12:15,2025-10-05 21:14:08,0.43,20.19,28,True,False,1004,False,,24.489247,39.645347,Synthetic
SYN-000005,2025-10-05 01:10:00,20251005,1,12,6,Electrical cabinet,2,35,Medium,Resolved,2025-10-05 01:30:55,2025-10-06 10:26:58,0.97,33.28,24,False,False,1005,False,5.0,24.440428,39.559301,Synthetic
SYN-000006,2025-10-05 01:18:00,20251005,1,4,8,Unlicensed vendor,1,47,Medium,Resolved,2025-10-05 01:30:52,2025-10-05 07:14:40,0.6,5.94,12,True,False,1006,False,,24.398175,39.551387,Synthetic
SYN-000007,2025-10-05 01:20:00,20251005,1,5,7,Construction debris,3,42,High,Resolved,2025-10-05 02:29:35,2025-10-06 08:15:47,3.22,30.93,69,True,False,1007,False,3.0,24.44729,39.543322,Synthetic
SYN-000008,2025-10-05 01:23:00,20251005,1,11,1,Overflowing container,3,5,Medium,Resolved,2025-10-05 01:32:34,2025-10-05 20:25:04,0.44,19.03,24,True,False,1008,False,5.0,24.502049,39.583664,Synthetic
SYN-000009,2025-10-05 01:33:00,20251005,1,4,5,Unsafe structure,1,30,Low,Resolved,2025-10-05 02:16:01,2025-10-09 11:20:10,1.99,105.79,85,False,False,1009,False,3.0,24.407084,39.553071,Synthetic
SYN-000010,2025-10-05 02:04:00,20251005,2,3,4,Unauthorized occupation,5,24,Low,Resolved,2025-10-05 02:19:17,2025-10-05 18:57:47,0.71,16.9,28,True,False,1010,False,,24.439978,39.637244,Synthetic
SYN-000011,2025-10-05 02:10:00,20251005,2,1,2,Drainage issue,2,11,High,Resolved,2025-10-05 02:23:01,2025-10-06 23:44:58,0.6,45.58,52,True,False,1011,False,,24.466902,39.614436,Synthetic
SYN-000012,2025-10-05 02:22:00,20251005,2,5,2,Drainage issue,1,11,Medium,Resolved,2025-10-05 02:36:10,2025-10-07 01:46:33,0.66,47.41,72,True,False,1012,False,3.0,24.471604,39.558108,Synthetic
SYN-000013,2025-10-05 02:23:00,20251005,2,1,5,Unsafe structure,2,30,Medium,Resolved,2025-10-05 02:35:04,2025-10-07 03:22:43,0.56,49.0,72,True,False,1013,False,5.0,24.461281,39.602107,Synthetic
SYN-000014,2025-10-05 02:30:00,20251005,2,11,4,Outdoor display,1,23,Medium,Resolved,2025-10-05 02:39:50,2025-10-05 19:35:53,0.46,17.1,24,True,False,1014,False,5.0,24.519305,39.604359,Synthetic
SYN-000015,2025-10-05 02:51:00,20251005,2,9,3,Park cleanliness,7,18,Medium,Resolved,2025-10-05 03:17:31,2025-10-06 09:22:26,1.23,30.52,48,True,False,1015,False,,24.429362,39.637571,Synthetic
SYN-000016,2025-10-05 03:06:00,20251005,3,5,5,Accessibility issue,1,30,High,Resolved,2025-10-05 03:21:36,2025-10-06 23:58:43,0.72,44.88,52,True,False,1016,False,4.0,24.452043,39.553687,Synthetic
SYN-000017,2025-10-05 03:14:00,20251005,3,6,5,Accessibility issue,3,30,Medium,Resolved,2025-10-05 03:23:23,2025-10-07 21:27:24,0.43,66.22,72,True,False,1017,False,5.0,24.480902,39.615139,Synthetic
SYN-000018,2025-10-05 03:39:00,20251005,3,1,1,Waste accumulation,5,5,High,Resolved,2025-10-05 04:30:21,2025-10-05 14:15:56,2.38,10.62,17,True,False,1018,False,4.0,24.471395,39.614214,Synthetic
SYN-000019,2025-10-05 03:41:00,20251005,3,12,1,Waste accumulation,1,6,Low,Resolved,2025-10-05 04:19:11,2025-10-06 03:48:42,1.77,24.13,28,True,False,1019,False,4.0,24.441466,39.551019,Synthetic
